Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US48041,48041,"Brazos County, Texas",195693,148648,21506,731,9459,112
0500000US48061,48061,"Cameron County, Texas",408054,379575,1828,312,3272,0
0500000US48085,48085,"Collin County, Texas",788407,585157,64178,4639,89100,271
0500000US48091,48091,"Comal County, Texas",109382,101318,2237,261,403,0
0500000US48099,48099,"Coryell County, Texas",75645,56623,12394,24,1564,744
0500000US48113,48113,"Dallas County, Texas",2377351,1352629,523751,10367,118694,959
0500000US48121,48121,"Denton County, Texas",667053,527622,52048,2892,43809,764
0500000US48135,48135,"Ector County, Texas",137145,115115,6280,2001,466,61
0500000US48139,48139,"Ellis County, Texas",150462,124088,12257,2912,1466,0
0500000US48141,48141,"El Paso County, Texas",804338,631750,25549,4670,7845,137
0500000US48157,48157,"Fort Bend County, Texas",590350,320595,129339,1563,101213,0
0500000US48167,48167,"Galveston County, Texas",292607,231582,41659,226,8036,0
0500000US48181,48181,"Grayson County, Texas",121145,100910,5899,1533,734,0
0500000US48183,48183,"Gregg County, Texas",121854,87483,24991,1074,1585,0
0500000US48187,48187,"Guadalupe County, Texas",132431,111340,8745,99,1983,199
0500000US48201,48201,"Harris County, Texas",4110771,2564180,777377,20822,256862,2702
0500000US48209,48209,"Hays County, Texas",158312,124549,5572,539,1731,0
0500000US48213,48213,"Henderson County, Texas",78647,70960,5541,524,165,0
0500000US48215,48215,"Hidalgo County, Texas",780087,675973,4248,3145,8501,0
0500000US48231,48231,"Hunt County, Texas",86353,71084,7980,276,264,26
0500000US48245,48245,"Jefferson County, Texas",252390,138713,84019,797,8470,535
0500000US48251,48251,"Johnson County, Texas",151211,139562,2633,653,888,757
0500000US48257,48257,"Kaufman County, Texas",103927,88130,11199,0,1069,0
0500000US48291,48291,"Liberty County, Texas",75868,61306,8604,241,187,57
0500000US48303,48303,"Lubbock County, Texas",280237,218880,20517,1164,6433,216
0500000US48309,48309,"McLennan County, Texas",236028,186760,35665,1447,3214,0
0500000US48329,48329,"Midland County, Texas",136975,117916,9111,607,1910,0
0500000US48339,48339,"Montgomery County, Texas",459018,403936,13973,3270,10242,157
0500000US48355,48355,"Nueces County, Texas",340480,295419,13609,888,5333,375
0500000US48361,48361,"Orange County, Texas",81930,71676,7306,99,931,46
0500000US48375,48375,"Potter County, Texas",121446,96431,12600,888,4430,332
0500000US48381,48381,"Randall County, Texas",121208,108402,1955,1294,1633,91
0500000US48397,48397,"Rockwall County, Texas",79003,68992,3903,253,1771,1203
0500000US48409,48409,"San Patricio County, Texas",64586,59374,1445,89,418,0
0500000US48423,48423,"Smith County, Texas",210512,160901,37696,412,2152,1017
0500000US48439,48439,"Tarrant County, Texas",1817658,1249935,269016,8670,84333,899
0500000US48441,48441,"Taylor County, Texas",131896,110106,9928,499,1444,37
0500000US48451,48451,"Tom Green County, Texas",110679,96055,4672,168,1165,330
0500000US48453,48453,"Travis County, Texas",1030806,746646,85974,5392,61009,634
0500000US48469,48469,"Victoria County, Texas",86878,71478,4650,580,897,43
0500000US48471,48471,"Walker County, Texas",68185,49040,15183,154,755,0
0500000US48479,48479,"Webb County, Texas",251632,235364,321,640,2123,0
0500000US48485,48485,"Wichita County, Texas",131685,108844,14353,1013,3014,0
0500000US48491,48491,"Williamson County, Texas",426645,355748,25518,1283,20149,220
0500000US49005,49005,"Cache County, Utah",113417,102315,589,933,2330,105
0500000US49011,49011,"Davis County, Utah",307856,280134,3769,1990,5642,437
0500000US49035,49035,"Salt Lake County, Utah",1033910,889739,16247,8732,32593,16301
0500000US49049,49049,"Utah County, Utah",520049,471233,3090,3753,6051,4304
0500000US49053,49053,"Washington County, Utah",138451,129139,226,1784,1165,1494
0500000US49057,49057,"Weber County, Utah",232228,199806,3142,1982,2623,594
0500000US50007,50007,"Chittenden County, Vermont",156705,144872,2985,371,4344,31
0500000US51003,51003,"Albemarle County, Virginia",99150,81595,10254,312,4172,0
0500000US51013,51013,"Arlington County, Virginia",209457,147171,17623,1019,18944,280
0500000US51019,51019,"Bedford County, Virginia",68735,63124,3906,173,807,0
0500000US51041,51041,"Chesterfield County, Virginia",317102,224945,70735,711,10745,99
0500000US51059,51059,"Fairfax County, Virginia",1086743,686467,100195,6175,193843,795
0500000US51061,51061,"Fauquier County, Virginia",62971,55158,6206,92,479,0
0500000US51069,51069,"Frederick County, Virginia",78511,72822,3770,0,956,0
0500000US51085,51085,"Hanover County, Virginia",99948,85203,9377,304,1158,0
0500000US51087,51087,"Henrico County, Virginia",307435,186394,91358,824,19896,0
0500000US51107,51107,"Loudoun County, Virginia",315134,218951,22527,517,43014,63
0500000US51121,51121,"Montgomery County, Virginia",94531,83154,3918,55,5674,0
0500000US51153,51153,"Prince William County, Virginia",406110,239133,80826,1342,29996,409
0500000US51161,51161,"Roanoke County, Virginia",92389,83559,4906,111,2570,0
0500000US51177,51177,"Spotsylvania County, Virginia",122853,91499,19555,213,3193,267
0500000US51179,51179,"Stafford County, Virginia",129745,90469,23489,1154,3903,0
0500000US51199,51199,"York County, Virginia",65467,50880,8936,209,2575,6
0500000US51510,51510,"Alexandria city, Virginia",140912,89157,30208,691,8203,141
0500000US51550,51550,"Chesapeake city, Virginia",222986,139675,67715,1319,7354,64
0500000US51650,51650,"Hampton city, Virginia",137381,59604,69332,476,3229,0
0500000US51680,51680,"Lynchburg city, Virginia",75686,48099,22050,47,2244,0
0500000US51700,51700,"Newport News city, Virginia",180712,90783,70643,896,3694,1674
0500000US51710,51710,"Norfolk city, Virginia",243135,116707,107983,746,8352,884
0500000US51740,51740,"Portsmouth city, Virginia",95696,39718,50598,159,1245,0
0500000US51760,51760,"Richmond city, Virginia",204389,88900,101128,697,4811,0
0500000US51770,51770,"Roanoke city, Virginia",96967,64439,27977,88,1124,0
0500000US51810,51810,"Virginia Beach city, Virginia",439172,303393,81771,387,27303,788
0500000US53005,53005,"Benton County, Washington",176455,142733,2187,1510,5269,115
0500000US53007,53007,"Chelan County, Washington",72735,66234,89,1099,521,189
0500000US53009,53009,"Clallam County, Washington",71515,62682,905,4110,712,0
0500000US53011,53011,"Clark County, Washington",427044,367868,8911,3095,16951,2444
0500000US53015,53015,"Cowlitz County, Washington",102501,92521,0,1502,1882,51
0500000US53021,53021,"Franklin County, Washington",79223,44314,1558,858,1772,20
0500000US53025,53025,"Grant County, Washington",89744,65386,1886,1257,1094,0
0500000US53027,53027,"Grays Harbor County, Washington",72882,61485,770,2732,1291,106
0500000US53029,53029,"Island County, Washington",78681,67441,1403,753,3422,554
0500000US53033,53033,"King County, Washington",1937961,1353541,116862,16330,287585,14531
0500000US53035,53035,"Kitsap County, Washington",251809,207009,6927,3733,11689,2378
0500000US53041,53041,"Lewis County, Washington",75487,67945,72,874,552,0
0500000US53053,53053,"Pierce County, Washington",795628,602139,56212,7317,45282,11534
0500000US53057,53057,"Skagit County, Washington",117102,104308,587,2498,1818,273
0500000US53061,53061,"Snohomish County, Washington",715470,573684,17230,10468,63283,2996
0500000US53063,53063,"Spokane County, Washington",472147,421007,9692,6601,11792,452
0500000US53067,53067,"Thurston County, Washington",253087,211768,6970,3518,12752,2006
0500000US53073,53073,"Whatcom County, Washington",201628,175930,2001,5328,7385,299
0500000US53077,53077,"Yakima County, Washington",244485,180620,1213,10979,1366,45
0500000US54003,54003,"Berkeley County, West Virginia",104641,92245,7176,55,695,0
0500000US54011,54011,"Cabell County, West Virginia",96378,88026,4377,176,964,61
0500000US54033,54033,"Harrison County, West Virginia",69233,66281,937,540,66,217
0500000US54039,54039,"Kanawha County, West Virginia",192976,171508,7730,258,2125,0
0500000US54061,54061,"Monongalia County, West Virginia",96791,88339,2978,126,3253,58
0500000US54081,54081,"Raleigh County, West Virginia",78904,69554,7343,560,837,0
0500000US54107,54107,"Wood County, West Virginia",86990,83733,1116,37,491,0
0500000US55009,55009,"Brown County, Wisconsin",248506,221762,4031,5970,6303,20
