FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
25023,"Plymouth County, Massachusetts",510393,429089,48665,162,6975,0
25025,"Suffolk County, Massachusetts",778121,431912,174007,1384,68587,153
25027,"Worcester County, Massachusetts",818963,694255,40226,1335,38787,165
26005,"Allegan County, Michigan",114625,107537,1449,636,485,120
26017,"Bay County, Michigan",105659,99946,1768,281,760,0
26021,"Berrien County, Michigan",154636,121302,22875,321,3189,98
26025,"Calhoun County, Michigan",134314,110510,14086,1172,2719,169
26037,"Clinton County, Michigan",77390,72677,1203,73,1202,0
26045,"Eaton County, Michigan",108801,93877,7291,595,2443,0
26049,"Genesee County, Michigan",410849,308385,80489,854,4672,0
26055,"Grand Traverse County, Michigan",91636,85988,1181,1171,756,261
26065,"Ingham County, Michigan",286085,212669,31097,979,18294,114
26073,"Isabella County, Michigan",70698,62694,2124,2558,1558,0
26075,"Jackson County, Michigan",159494,139227,13549,488,1343,0
26077,"Kalamazoo County, Michigan",260263,210977,28564,942,6038,0
26081,"Kent County, Michigan",636369,507666,61611,2400,17945,149
26087,"Lapeer County, Michigan",88373,84421,1151,234,71,81
26091,"Lenawee County, Michigan",98573,90671,2738,794,360,245
26093,"Livingston County, Michigan",187316,179668,1212,462,1732,296
26099,"Macomb County, Michigan",864840,709097,96470,2696,32188,175
26103,"Marquette County, Michigan",67215,62598,1211,586,349,13
26111,"Midland County, Michigan",83632,78064,1177,243,1611,277
26115,"Monroe County, Michigan",149568,141703,3277,176,1144,45
26121,"Muskegon County, Michigan",172790,139335,23975,1312,617,103
26125,"Oakland County, Michigan",1242304,937743,174879,4311,84949,137
26139,"Ottawa County, Michigan",279955,251024,3814,965,8315,0
26145,"Saginaw County, Michigan",193307,144418,34507,506,2355,0
26147,"St. Clair County, Michigan",159875,149328,3178,209,1332,0
26155,"Shiawassee County, Michigan",68619,65964,250,337,328,64
26159,"Van Buren County, Michigan",75077,64916,2400,429,511,0
26161,"Washtenaw County, Michigan",358880,263224,44740,1703,32009,371
26163,"Wayne County, Michigan",1759335,941967,688219,4534,56669,419
27003,"Anoka County, Minnesota",344151,292650,18135,2585,14800,169
27013,"Blue Earth County, Minnesota",65787,60189,2220,266,1133,0
27019,"Carver County, Minnesota",98741,91760,1737,115,2242,0
27037,"Dakota County, Minnesota",414686,342805,21733,1346,19698,142
27053,"Hennepin County, Minnesota",1223149,898311,158005,6709,86482,95
27109,"Olmsted County, Minnesota",151436,128394,7781,710,9544,83
27123,"Ramsey County, Minnesota",538133,368423,62146,2761,74309,181
27131,"Rice County, Minnesota",65400,57741,2229,439,1832,0
27137,"St. Louis County, Minnesota",200431,184955,2865,2634,2358,175
27139,"Scott County, Minnesota",141660,119510,3959,1015,9032,9
27141,"Sherburne County, Minnesota",91705,85930,1789,493,1552,0
27145,"Stearns County, Minnesota",154708,139403,6753,375,3115,19
27163,"Washington County, Minnesota",251597,216760,10396,1073,13691,0
27171,"Wright County, Minnesota",131311,123820,1130,240,1560,42
28033,"DeSoto County, Mississippi",173323,120169,44477,179,2754,38
